Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
298,0.51,0.255,0.255,0.30779603504154823,0.05588538085384595,5.507630624304248
298,0.52,0.26,0.26,0.312532515570493,0.05615758703649945,5.565276787397639
298,0.53,0.265,0.265,0.3172615522311471,0.05640383714256504,5.624822145153779
298,0.54,0.27,0.27,0.3219843619324112,0.056625173862123006,5.686240588265794
298,0.55,0.275,0.275,0.3267020839927408,0.05682259687799146,5.749509912301793
298,0.56,0.28,0.28,0.33141578515137904,0.05699706427520377,5.814611495623284
298,0.5700000000000001,0.28500000000000003,0.28500000000000003,0.33612646423673637,0.057149494009085124,5.8815300129044354
298,0.5800000000000001,0.29000000000000004,0.29000000000000004,0.34083505651152274,0.05728076540712088,5.9502531799121465
298,0.59,0.295,0.295,0.34554243771419885,0.05739172068456025,6.020771525798809
298,0.6,0.3,0.3,0.3502494278159779,0.057483166457666934,6.093078189662996
298,0.61,0.305,0.305,0.35495679451204903,0.057555875241831214,6.16716873856292
298,0.62,0.31,0.31,0.3596652564649817,0.05761058692450583,6.243041004534373
298,0.63,0.315,0.315,0.3643754863174461,0.05764801020521352,6.320694938478432
298,0.64,0.32,0.32,0.36908811349051274,0.05766882399675189,6.400132479054906
298,0.65,0.325,0.325,0.37380372678287566,0.05767367878328095,6.4813574349489524
298,0.66,0.33,0.33,0.3785228767854321,0.057663197932240735,6.564375379080247
298,0.67,0.335,0.335,0.3832460781247317,0.05763797895810557,6.649193553495273
298,0.68,0.34,0.34,0.3879738115479318,0.05759859473680317,6.735820783836455
298,0.6900000000000001,0.34500000000000003,0.34500000000000003,0.39270652586102517,0.05754559467033169,6.824267402409687
298,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.3974446397312989,0.057479505801635626,6.914545178987765
298,0.7100000000000001,0.35500000000000004,0.35500000000000004,0.402188543364191,0.05740083388024761,7.006667258584713
298,0.72,0.36,0.36,0.4069386000639843,0.05731006437953473,7.100648105523695
298,0.73,0.365,0.365,0.4116951476870785,0.05720766346665255,7.196503453196677
298,0.74,0.37,0.37,0.4164584999959302,0.05709407892650908,7.294250258980295
298,0.75,0.375,0.375,0.42122894792115134,0.05696974104118153,7.393906663831577
298,0.76,0.38,0.38,0.42600676073868304,0.05683506342633512,7.495491956137914
298,0.77,0.385,0.385,0.43079218716843476,0.05669044382625881,7.599026539441086
298,0.78,0.39,0.39,0.43558545640030694,0.05653626486916487,7.704531903696333
298,0.79,0.395,0.395,0.44038677905303747,0.056372894784424636,7.812030599761087
298,0.8,0.4,0.4,0.445196348070919,0.05620068808339887,7.921546216841171
298,0.81,0.405,0.405,0.45001433956303016,0.05601998620551038,8.033103362648895
298,0.8200000000000001,0.41000000000000003,0.41000000000000003,0.45484091358927736,0.05583111813117181,8.146727646053163
